uuid,jan,name,maker,series,grade,scale,status,memo,updatedAt,sheet_updated_at
323F11D3-D38F-4F0E-83C7-CC2AACB41D8E,,MSN-02 ジオング,BANDAI,機動戦士ガンダム,RG,1/144,完成,,2025-12-19T21:54:03Z,
ED9C724D-09A1-4D6A-A484-CB2423DCFEC2,,RX-75 ガンタンク,BANDAI,機動戦士ガンダム,HG,1/144,完成,,2025-12-19T21:54:03Z,
E7EA02F1-F8C4-4F9E-BCCE-67B1FA1F6AAC,,ZGMF-X10A フリーダムガンダム,BANDAI,機動戦士ガンダムSEED,HG,1/144,完成,,2025-12-19T21:54:03Z,
AE1278E6-8678-406A-9791-95E0D61BE482,,GAT-X105+AQM/E-X01&FX-550 E-X02 E-X03 エールストライクガンダム & スカイグラスパー ランチャー/ソードパック セット[ガンダムベース限定 クリアカラー],BANDAI,機動戦士ガンダムSEED,RG,1/144,完成,,2025-12-19T21:54:03Z,
B23AF25B-84A3-4160-8A77-7FF78EAFC00B,,COMBAT ARMORS ダグラム Ver.GT,MAX FACTORY,Get truth 太陽の牙ダグラム,不明,1/72,完成,,2025-12-19T21:54:03Z,
D97AB8F8-DCEF-453E-A6A0-ED57BA8C1C1E,,RX-78(G)E ガンダムEX,BANDAI,機動戦士ガンダム復讐のレクイエム,HG,1/144,完成,,2025-12-19T21:54:03Z,
C8DCB5B5-181B-4840-B2AA-051326424FB3,,聖戦士ダンバイン サーバイン スペシャルコーティング,BANDAI,聖戦士ダンバイン,HG,1/72,完成,,2025-12-19T21:54:03Z,
53E21337-F105-44E2-8BC0-66149B699BF4,,ウエポン＆アーマーハンガーFOR フルアーマー・ガンダムVer.ka,BANDAI,機動戦士ガンダムサンダーボルト,MG,1/100,完成,,2025-12-19T21:54:03Z,
1A5525B6-9EA5-46EA-9A3F-0005FB5D31F5,,MBF-P02 ガンダムアストレイ レッドドラゴン,BANDAI,機動戦士ガンダムSEED ASTRAY,MG,1/100,完成,,2025-12-19T21:54:03Z,
0F620FA2-3928-40E4-B442-CEAC960CD16E,,RX-78-2 ガンダムVer.2.0,BANDAI,機動戦士ガンダム,RG,1/144,完成,,2025-12-19T21:54:03Z,
304C9ADE-E322-4503-B56A-5EA5116B19D2,,赤いガンダム,BANDAI,機動戦士Gundam GQuuuuuuX,HG,1/144,制作中,,2025-12-20T06:03:17Z,
C2027CBC-A0BB-4F04-9EE1-7EB092DCCC1F,4573102588128,次元ビルドナックルズ 角,BANDAI,,HG,1/144,積み,,2025-12-19T21:54:03Z,
AC9BF0C5-0D21-4527-B08F-3031FE393697,,gMS-Ω GQuuuuuuX（ジークアクス）,BANDAI,機動戦士Gundam GQuuuuuuX,HG,1/144,完成,,2025-12-19T21:54:03Z,
CD5DC170-7746-4641-82F1-5C1FC7943652,,gMS-Ω GQuuuuuuX  エンディミオン・ユニット覚醒時,BANDAI,機動戦士Gundam GQuuuuuuX,HG,1/144,予約済み,,2025-12-19T21:54:03Z,
A567E78F-C93E-4A85-A472-A21CE4660AB3,,ZGMF-X20Aストライクフリーダムガンダム,BANDAI,機動戦士ガンダムSEED DESTINY,MG,1/100,完成,,2025-12-19T21:54:03Z,
78CA19F5-AE19-4765-B066-7D2756B89C8A,,ZGMF-X20Aストライクフリーダムガンダム,BANDAI,機動戦士ガンダムSEED DESTINY,RG,1/144,完成,,2025-12-19T21:54:03Z,
32145F13-D139-49F9-8B93-B9D578C68FB0,4573102638687,AMX-004-3 キュベレイMk-II(プルツー専用機) プレミアムバンダイ限定,BANDAI,機動戦士ガンダムZZ,HG,1/144,積み,,2025-12-19T21:54:03Z,
A190D592-E8DC-4B28-87ED-F1A1D9BD7D26,,YMS-15　ギャン,BANDAI,機動戦士ガンダム,PG,1/144,完成,,2025-12-19T21:54:03Z,
FADAA0A6-0143-4493-A18D-6245BF74B49B,,RX-78-2 ガンダム ENTRY GRADE,BANDAI,機動戦士ガンダム,EG,1/144,制作中,,2025-12-19T21:54:03Z,
5A0132FE-042F-4439-845B-9A050BC632B1,,MS-06S シャア専用ザク GQ,BANDAI,機動戦士Gundam GQuuuuuuX,HG,1/144,積み,,2025-12-19T21:54:03Z,
